Time,Speed,RPM,nGear,Throttle,Brake,DRS,Distance,RelativeDistance,X,Y,Z
0 days 00:00:00,268.9142893714286,10732.3001472,7,99.0,False,0,0.2149341183787192,6.518425260182057e-05,-7669.0,-6498.0,502.0
0 days 00:00:00.076000,270.0,10776.0,7,99.0,False,0,5.926666666666668,0.0017974128072401,-7672.304498154592,-6450.761203907812,502.1833497572133
0 days 00:00:00.276000,271.0,10818.0,7,99.0,False,0,20.982222222222223,0.0063633939729891,-7677.158229169622,-6379.633322598468,502.8733178439401
0 days 00:00:00.340000,271.0,10856.628571428571,7,99.0,False,0,25.78923491735508,0.0078212431601878,-7678.0,-6347.0,503.0
0 days 00:00:00.556000,271.0,10987.0,7,99.0,False,0,42.06,0.0127557676050375,-7678.069365425301,-6185.272549706175,503.0123893562054
0 days 00:00:00.599000,272.343752,10997.750016,7,99.0,False,0,45.34204500317943,0.0137511314502546,-7677.0,-6151.0,503.0
0 days 00:00:00.716000,276.0,11027.0,7,99.0,False,0,54.32666666666667,0.0164759470935887,-7672.138820909826,-6060.304191198126,502.9991385520671
0 days 00:00:00.719000,276.0,11023.1842936,7,98.109356,False,0,54.55720517106237,0.0165458637741898,-7672.0,-6058.0,503.0
0 days 00:00:00.919000,276.0,10768.8092936,7,38.734356,False,0,69.92237749330442,0.0212057441202163,-7662.0,-5905.0,503.0
0 days 00:00:01.036000,276.0,10620.0,7,4.0,False,0,78.86000000000001,0.023916306070691,-7654.733632477996,-5815.186599383645,502.5766817303653
0 days 00:00:01.139000,272.65249792,10742.57007616,7,2.96999936,False,0,86.67703166845503,0.0262870202724035,-7647.0,-5737.0,503.0
0 days 00:00:01.319000,266.80249792,10956.77007616,7,1.1699993599999998,False,0,100.07356247908147,0.0303498598761619,-7630.0,-5605.0,507.0
0 days 00:00:01.436000,263.0,11096.0,7,0.0,True,0,108.08222222222224,0.0327786901783807,-7617.238902960374,-5523.07628797383,509.5793056320759
0 days 00:00:01.659000,221.187488,10577.5248512,7,0.0,True,0,121.646847600576,0.0368925087465138,-7591.0,-5379.0,515.0
0 days 00:00:01.676000,218.0,10538.0,6,0.0,True,0,122.61555555555556,0.0371862941376424,-7589.016350974378,-5368.927500293465,515.5703958531034
0 days 00:00:01.719000,213.05499264,10571.75505024,6,0.0,True,0,125.03201209132018,0.0379191462060658,-7584.0,-5344.0,517.0
0 days 00:00:01.876000,195.0,10695.0,6,0.0,True,0,133.4488888888889,0.040471778740303,-7565.337384965833,-5258.774170402856,519.4117247756662
0 days 00:00:02.039000,180.40299328669295,10580.65678074576,6,0.0,True,0,141.53568391649574,0.0429243055601254,-7546.0,-5178.0,520.0
0 days 00:00:02.077000,177.0,10554.0,6,0.0,True,0,143.33138888888888,0.043468898886684,-7541.593751937759,-5160.015607148178,520.2948109459626
0 days 00:00:02.239000,163.23001088,10501.3500416,6,0.0,True,0,150.61043201718084,0.0456764543439246,-7523.0,-5087.0,522.0
0 days 00:00:02.277000,160.0,10489.0,4,0.0,True,0,152.22027777777777,0.0461646811247646,-7518.578042439264,-5070.75806455044,522.4087702496677
0 days 00:00:02.419000,150.2375088,10149.0878064,4,0.0,True,0,157.89088060668473,0.0478844360431194,-7502.0,-5013.0,524.0
0 days 00:00:02.597000,138.0,9723.0,3,0.0,True,0,164.48694444444442,0.0498848606133157,-7482.040670944769,-4946.768753657651,526.5802787518536
0 days 00:00:02.679000,133.3875072,9354.000576,3,0.0,True,0,167.45016484808582,0.0507835327681268,-7473.0,-4918.0,528.0
